event_id,true_label,predicted_label
2022-0839-MAR,Moderate,Moderate
2022-0858-KEN,Severe,Moderate
2022-9209-USA,Severe,Moderate
2022-9436-UGA,Severe,Moderate
2023-0006-IDN,Low,Low
2023-0011-ARM,Moderate,Moderate
2023-0013-UKR,Moderate,Moderate
2023-0014-SEN,Moderate,Moderate
2023-0019-AFG,Severe,Severe
2023-0021-CHN,Moderate,Moderate
2023-0032-USA,Moderate,Low
2023-0035-THA,Moderate,Moderate
2023-0043-MOZ,Severe,Severe
2023-0054-SYR,Severe,Low
2023-0073-IDN,Low,Low
2023-0075-CHE,Low,Moderate
2023-0080-ZAF,Moderate,Low
2023-0092-BRA,Moderate,Low
2023-0095-MOZ,Severe,Low
2023-0095-MWI,Severe,Low
2023-0127-IDN,Low,Low
2023-0131-PER,Moderate,Moderate
2023-0133-IDN,Moderate,Moderate
2023-0147-ITA,Severe,Moderate
2023-0152-BGD,Moderate,Moderate
2023-0155-ECU,Moderate,Low
2023-0156-AFG,Low,Low
2023-0157-BRA,Low,Low
2023-0166-NGA,Severe,Severe
2023-0176-USA,Moderate,Low
2023-0206-USA,Low,Low
2023-0208-PAK,Moderate,Moderate
2023-0229-IRQ,Low,Low
2023-0235-ARE,Moderate,Moderate
2023-0247-AGO,Moderate,Low
2023-0248-MMR,Low,Low
2023-0267-RWA,Severe,Low
2023-0272-CAN,Low,Low
2023-0275-EGY,Moderate,Moderate
2023-0280-CAN,Low,Low
2023-0289-RUS,Moderate,Low
2023-0293-ITA,Moderate,Low
2023-0294-MMR,Severe,Low
2023-0297-MNG,Low,Low
2023-0300-GUM,Low,Low
2023-0300-JPN,Low,Low
2023-0305-CMR,Moderate,Moderate
2023-0309-AUS,Moderate,Moderate
2023-0312-CMR,Moderate,Moderate
2023-0328-IND,Severe,Severe
2023-0332-USA,Low,Low
2023-0334-KAZ,Moderate,Low
2023-0384-YEM,Severe,Low
2023-0385-PER,Severe,Severe
2023-0396-IND,Moderate,Moderate
2023-0401-CHN,Moderate,Moderate
2023-0403-GRC,Moderate,Moderate
2023-0406-IND,Severe,Moderate
2023-0428-IND,Severe,Severe
2023-0428-PAK,Severe,Severe
2023-0438-ALB,Severe,Severe
2023-0438-AUT,Severe,Severe
2023-0438-BEL,Severe,Severe
2023-0438-CHE,Severe,Severe
2023-0438-CYP,Severe,Severe
2023-0438-CZE,Severe,Severe
2023-0438-DEU,Severe,Severe
2023-0438-DNK,Severe,Severe
2023-0438-ESP,Severe,Severe
2023-0438-EST,Severe,Severe
2023-0438-FIN,Severe,Severe
2023-0438-FRA,Severe,Severe
2023-0438-GBR,Severe,Severe
2023-0438-GRC,Severe,Severe
2023-0438-HRV,Severe,Severe
2023-0438-HUN,Severe,Severe
2023-0438-ITA,Severe,Severe
2023-0438-LTU,Severe,Severe
2023-0438-NLD,Severe,Severe
2023-0438-POL,Severe,Severe
2023-0438-PRT,Severe,Severe
2023-0438-ROU,Severe,Severe
2023-0438-SRB,Severe,Severe
2023-0450-VNM,Low,Low
2023-0451-COL,Moderate,Moderate
2023-0454-DZA,Moderate,Moderate
2023-0460-SVN,Low,Low
2023-0462-PAK,Moderate,Severe
2023-0464-CHN,Moderate,Low
2023-0464-TWN,Low,Low
2023-0466-DEU,Low,Low
2023-0468-DZA,Moderate,Low
2023-0473-BGD,Severe,Severe
2023-0477-CMR,Low,Low
2023-0484-PHL,Moderate,Moderate
2023-0487-RUS,Moderate,Low
2023-0488-VNM,Low,Low
2023-0490-JPN,Low,Low
2023-0490-KOR,Low,Low
2023-0490-RUS,Low,Low
2023-0493-UGA,Moderate,Moderate
2023-0494-IND,Moderate,Moderate
2023-0495-LAO,Low,Low
2023-0497-SVN,Low,Low
2023-0516-CHN,Moderate,Moderate
2023-0517-MMR,Low,Low
2023-0518-VNM,Moderate,Low
2023-0524-USA,Severe,Low
2023-0530-MMR,Moderate,Moderate
2023-0547-IND,Moderate,Moderate
2023-0584-ZAF,Moderate,Moderate
2023-0589-MEX,Moderate,Moderate
2023-0590-TUN,Moderate,Moderate
2023-0599-TUN,Moderate,Moderate
2023-0600-MAR,Severe,Low
2023-0603-BRA,Moderate,Low
2023-0610-LBY,Severe,Low
2023-0612-NGA,Moderate,Moderate
2023-0614-CHN,Moderate,Moderate
2023-0619-ZAF,Moderate,Low
2023-0622-IND,Severe,Moderate
2023-0623-TWN,Low,Low
2023-0628-NGA,Moderate,Moderate
2023-0633-MMR,Low,Low
2023-0636-AFG,Severe,Low
2023-0641-ZAF,Moderate,Moderate
2023-0642-PER,Moderate,Moderate
2023-0649-IRQ,Severe,Moderate
2023-0652-VNM,Moderate,Moderate
2023-0656-USA,Low,Low
2023-0683-SOM,Low,Low
2023-0685-YEM,Low,Low
2023-0691-NGA,Severe,Low
2023-0703-HND,Low,Low
2023-0703-SLV,Low,Low
2023-0719-ZWE,Severe,Severe
2023-0721-KEN,Severe,Low
2023-0741-SOM,Severe,Low
2023-0754-VNM,Low,Low
2023-0760-BOL,Moderate,Low
2023-0761-TUR,Moderate,Low
2023-0762-PHL,Moderate,Low
2023-0774-MEX,Moderate,Moderate
2023-0777-BRA,Low,Low
2023-0799-THA,Moderate,Moderate
2023-0804-BGR,Low,Low
2023-0806-ZAF,Moderate,Moderate
2023-0809-BDI,Low,Low
2023-0826-USA,Low,Low
2023-0837-GIN,Moderate,Moderate
2023-0838-CHN,Severe,Low
2023-0843-USA,Low,Low
2023-0844-AGO,Moderate,Low
2023-0848-CHN,Moderate,Moderate
2023-0858-COD,Moderate,Moderate
2023-0866-FRA,Low,Low
2023-0867-ZMB,Severe,Severe
2023-0868-COG,Moderate,Low
2023-0875-LSO,Low,Low
2023-0876-SOM,Moderate,Severe
2023-9868-USA,Severe,Moderate
