event_id,year
2002-0043-REU,2002
2002-0126-FSM,2002
2002-0204-IND,2002
2002-0233-BGD,2002
2002-0281-MDG,2002
2002-0397-FSM,2002
2002-0408-PHL,2002
2002-0423-PHL,2002
2002-0430-JPN,2002
2002-0431-JPN,2002
2002-0432-GUM,2002
2002-0528-PHL,2002
2002-0557-KOR,2002
2002-0561-PRK,2002
2002-0590-SYC,2002
2002-0599-CHN,2002
2002-0604-CUB,2002
2002-0609-MEX,2002
2002-0617-BRB,2002
2002-0626-CYM,2002
2002-0627-JAM,2002
2002-0635-RUS,2002
2002-0636-CUB,2002
2002-0636-GRD,2002
2002-0647-MEX,2002
2002-0652-USA,2002
2002-0653-VCT,2002
2002-0656-CYM,2002
2002-0656-JAM,2002
2002-0657-HTI,2002
2002-0669-MEX,2002
2002-0702-IND,2002
2002-0705-BGD,2002
2002-0724-USA,2002
2002-0753-GUM,2002
2002-0811-SLB,2002
2002-0826-MNP,2002
2002-0849-GTM,2002
2002-0850-NIC,2002
2002-0851-SLV,2002
2003-0024-FJI,2003
2003-0057-SLB,2003
2003-0065-MDG,2003
2003-0073-COD,2003
2003-0100-IND,2003
2003-0114-MOZ,2003
2003-0114-ZWE,2003
2003-0135-NCL,2003
2003-0182-IND,2003
2003-0211-BGD,2003
2003-0218-MDG,2003
2003-0234-IND,2003
2003-0258-PHL,2003
2003-0290-PHL,2003
2003-0314-SLB,2003
2003-0346-CHN,2003
2003-0346-HKG,2003
2003-0346-PHL,2003
2003-0388-JPN,2003
2003-0388-RUS,2003
2003-0437-VNM,2003
2003-0443-CHN,2003
2003-0443-HKG,2003
2003-0443-TWN,2003
2003-0448-BMU,2003
2003-0459-JPN,2003
2003-0459-KOR,2003
2003-0468-CAN,2003
2003-0468-USA,2003
2003-0474-MEX,2003
2003-0487-CAN,2003
2003-0577-FSM,2003
2003-0594-CHN,2003
2003-0599-DOM,2003
2003-0599-PRI,2003
2003-0602-MDG,2003
2003-0605-IND,2003
2003-0688-MEX,2003
2003-0779-BGD,2003
2003-0782-USA,2003
2003-0822-PHL,2003
2003-0823-PHL,2003
2003-0824-PHL,2003
2004-0004-ASM,2004
2004-0004-NIU,2004
2004-0004-TON,2004
2004-0004-WSM,2004
2004-0029-MDG,2004
2004-0080-VUT,2004
2004-0103-MDG,2004
2004-0131-BRA,2004
2004-0144-IDN,2004
2004-0150-FSM,2004
2004-0153-FJI,2004
2004-0218-PHL,2004
2004-0235-MMR,2004
2004-0258-THA,2004
2004-0258-VNM,2004
2004-0276-JPN,2004
2004-0276-KOR,2004
2004-0309-PHL,2004
2004-0309-TWN,2004
2004-0312-GUM,2004
2004-0312-MNP,2004
2004-0388-RUS,2004
2004-0412-CHN,2004
2004-0415-CUB,2004
2004-0415-CYM,2004
2004-0415-JAM,2004
2004-0415-USA,2004
2004-0428-JPN,2004
2004-0428-KOR,2004
2004-0435-CHN,2004
2004-0435-JPN,2004
2004-0435-PHL,2004
2004-0435-TWN,2004
2004-0445-GUM,2004
2004-0445-JPN,2004
2004-0448-USA,2004
2004-0455-BHS,2004
2004-0455-DOM,2004
2004-0455-PRI,2004
2004-0455-TCA,2004
2004-0455-USA,2004
2004-0459-JPN,2004
2004-0459-KOR,2004
2004-0459-RUS,2004
2004-0462-BHS,2004
2004-0462-BRB,2004
2004-0462-CUB,2004
2004-0462-CYM,2004
2004-0462-DOM,2004
2004-0462-GRD,2004
2004-0462-HTI,2004
2004-0462-JAM,2004
2004-0462-LCA,2004
2004-0462-TTO,2004
2004-0462-USA,2004
2004-0462-VCT,2004
2004-0462-VEN,2004
2004-0468-TWN,2004
2004-0473-BHS,2004
2004-0473-DOM,2004
2004-0473-HTI,2004
2004-0473-PRI,2004
2004-0473-USA,2004
2004-0473-VIR,2004
2004-0492-JPN,2004
2004-0511-JPN,2004
2004-0524-JPN,2004
2004-0535-TWN,2004
2004-0580-PHL,2004
2004-0580-VNM,2004
2004-0602-PHL,2004
2004-0609-PHL,2004
2004-0618-PHL,2004
2004-0618-TWN,2004
2005-0048-MDG,2005
2005-0102-COK,2005
2005-0102-TKL,2005
2005-0120-PHL,2005
2005-0151-ASM,2005
2005-0151-WSM,2005
2005-0190-BGD,2005
2005-0351-CUB,2005
2005-0351-HTI,2005
2005-0351-JAM,2005
2005-0351-USA,2005
2005-0381-CHN,2005
2005-0381-TWN,2005
2005-0382-GRD,2005
2005-0382-HTI,2005
2005-0382-JAM,2005
2005-0382-MEX,2005
2005-0382-TTO,2005
2005-0382-VCT,2005
2005-0419-CHN,2005
2005-0419-KOR,2005
2005-0419-TWN,2005
2005-0464-JPN,2005
2005-0467-USA,2005
2005-0492-CHN,2005
2005-0492-TWN,2005
2005-0497-JPN,2005
2005-0497-KOR,2005
2005-0510-CHN,2005
2005-0524-MEX,2005
2005-0536-VNM,2005
2005-0540-CHN,2005
2005-0540-PHL,2005
2005-0540-THA,2005
2005-0540-VNM,2005
2005-0547-USA,2005
2005-0565-CHN,2005
2005-0565-TWN,2005
2005-0567-CRI,2005
2005-0567-GTM,2005
2005-0567-HND,2005
2005-0567-HTI,2005
2005-0567-MEX,2005
2005-0567-NIC,2005
2005-0567-SLV,2005
2005-0585-BHS,2005
2005-0585-BLZ,2005
2005-0585-CUB,2005
2005-0585-HND,2005
2005-0585-HTI,2005
2005-0585-JAM,2005
2005-0585-MEX,2005
2005-0585-USA,2005
2005-0597-DOM,2005
2005-0597-HTI,2005
2005-0611-VNM,2005
2005-0625-COL,2005
2005-0625-HND,2005
2005-0625-NIC,2005
2005-0640-BLZ,2005
2005-0640-HND,2005
2005-0662-MAR,2005
2005-0662-SPI,2005
2005-0732-SLV,2005
2006-0043-AUS,2006
2006-0073-FJI,2006
2006-0089-MDG,2006
2006-0139-AUS,2006
2006-0155-AUS,2006
2006-0241-MMR,2006
2006-0251-CHN,2006
2006-0251-PHL,2006
2006-0251-VNM,2006
2006-0272-CUB,2006
2006-0362-CHN,2006
2006-0362-PHL,2006
2006-0362-TWN,2006
2006-0362-VNM,2006
2006-0388-CHN,2006
2006-0388-PHL,2006
2006-0388-TWN,2006
2006-0410-CHN,2006
2006-0410-PHL,2006
2006-0415-PHL,2006
2006-0437-CHN,2006
2006-0466-HTI,2006
2006-0466-USA,2006
2006-0483-MEX,2006
2006-0504-JPN,2006
2006-0505-MEX,2006
2006-0510-BGD,2006
2006-0510-IND,2006
2006-0517-CHN,2006
2006-0517-PHL,2006
2006-0517-VNM,2006
2006-0600-PHL,2006
2006-0604-MEX,2006
2006-0610-PHL,2006
2006-0648-PHL,2006
2006-0648-VNM,2006
2006-0667-PHL,2006
2006-0687-MDG,2006
2006-0737-BGD,2006
2006-0738-BGD,2006
