transformed_feature,original_feature,class,mean_abs_shap
categorical__country_code_DOM,country_code,Moderate,1.2454400532903657e-05
categorical__country_code_DOM,country_code,Severe,2.9330783550836426e-05
categorical__country_code_DZA,country_code,Low,6.580011467442985e-05
categorical__country_code_DZA,country_code,Moderate,1.9918786968625257e-05
categorical__country_code_DZA,country_code,Severe,4.6015514362747015e-05
categorical__country_code_ECU,country_code,Low,1.57736622661489e-05
categorical__country_code_ECU,country_code,Moderate,1.884745813600343e-05
categorical__country_code_ECU,country_code,Severe,5.806832465238926e-06
categorical__country_code_EGY,country_code,Low,1.5425472093992842e-06
categorical__country_code_EGY,country_code,Moderate,1.04491427676348e-05
categorical__country_code_EGY,country_code,Severe,1.1102955822191011e-05
categorical__country_code_ERI,country_code,Low,0.0
categorical__country_code_ERI,country_code,Moderate,0.0
categorical__country_code_ERI,country_code,Severe,0.0
categorical__country_code_ESP,country_code,Low,2.311277497293913e-05
categorical__country_code_ESP,country_code,Moderate,1.0578371015024392e-05
categorical__country_code_ESP,country_code,Severe,3.227485108608774e-05
categorical__country_code_EST,country_code,Low,0.0
categorical__country_code_EST,country_code,Moderate,0.0
categorical__country_code_EST,country_code,Severe,0.0
categorical__country_code_ETH,country_code,Low,0.00042375506935988784
categorical__country_code_ETH,country_code,Moderate,5.059966223362543e-05
categorical__country_code_ETH,country_code,Severe,0.0004640484444467921
categorical__country_code_FIN,country_code,Low,0.0
categorical__country_code_FIN,country_code,Moderate,0.0
categorical__country_code_FIN,country_code,Severe,0.0
categorical__country_code_FJI,country_code,Low,1.6904868880561376e-06
categorical__country_code_FJI,country_code,Moderate,3.971256443296459e-07
categorical__country_code_FJI,country_code,Severe,1.2933612437264598e-06
categorical__country_code_FRA,country_code,Low,3.311452703463279e-05
categorical__country_code_FRA,country_code,Moderate,1.2572090368271437e-05
categorical__country_code_FRA,country_code,Severe,4.484202903466735e-05
categorical__country_code_FSM,country_code,Low,0.0
categorical__country_code_FSM,country_code,Moderate,0.0
categorical__country_code_FSM,country_code,Severe,0.0
categorical__country_code_GAB,country_code,Low,0.0
categorical__country_code_GAB,country_code,Moderate,0.0
categorical__country_code_GAB,country_code,Severe,0.0
categorical__country_code_GBR,country_code,Low,2.0154478757515943e-06
categorical__country_code_GBR,country_code,Moderate,1.054394264736776e-06
categorical__country_code_GBR,country_code,Severe,2.8134571307147035e-06
categorical__country_code_GEO,country_code,Low,0.0
categorical__country_code_GEO,country_code,Moderate,0.0
categorical__country_code_GEO,country_code,Severe,0.0
categorical__country_code_GHA,country_code,Low,1.1937992723511711e-05
categorical__country_code_GHA,country_code,Moderate,4.550269440974215e-05
categorical__country_code_GHA,country_code,Severe,5.744068713325312e-05
categorical__country_code_GIN,country_code,Low,4.730828751996377e-06
categorical__country_code_GIN,country_code,Moderate,1.3176527377744086e-06
categorical__country_code_GIN,country_code,Severe,5.012881408024944e-06
categorical__country_code_GLP,country_code,Low,0.0
categorical__country_code_GLP,country_code,Moderate,0.0
categorical__country_code_GLP,country_code,Severe,0.0
categorical__country_code_GMB,country_code,Low,0.0
categorical__country_code_GMB,country_code,Moderate,0.0
categorical__country_code_GMB,country_code,Severe,0.0
categorical__country_code_GNB,country_code,Low,0.0
categorical__country_code_GNB,country_code,Moderate,0.0
categorical__country_code_GNB,country_code,Severe,0.0
categorical__country_code_GNQ,country_code,Low,0.0
categorical__country_code_GNQ,country_code,Moderate,0.0
categorical__country_code_GNQ,country_code,Severe,0.0
categorical__country_code_GRC,country_code,Low,8.991128988388515e-05
categorical__country_code_GRC,country_code,Moderate,4.262909472200757e-05
categorical__country_code_GRC,country_code,Severe,0.00013226883213302197
categorical__country_code_GRD,country_code,Low,0.0
categorical__country_code_GRD,country_code,Moderate,0.0
categorical__country_code_GRD,country_code,Severe,0.0
categorical__country_code_GTM,country_code,Low,1.6056187995654204e-05
categorical__country_code_GTM,country_code,Moderate,3.8967073360588574e-05
categorical__country_code_GTM,country_code,Severe,5.475176419038121e-05
categorical__country_code_GUF,country_code,Low,0.0
categorical__country_code_GUF,country_code,Moderate,0.0
categorical__country_code_GUF,country_code,Severe,0.0
categorical__country_code_GUM,country_code,Low,0.0
categorical__country_code_GUM,country_code,Moderate,0.0
categorical__country_code_GUM,country_code,Severe,0.0
categorical__country_code_GUY,country_code,Low,0.0
categorical__country_code_GUY,country_code,Moderate,0.0
categorical__country_code_GUY,country_code,Severe,0.0
categorical__country_code_HKG,country_code,Low,0.0
categorical__country_code_HKG,country_code,Moderate,0.0
categorical__country_code_HKG,country_code,Severe,0.0
categorical__country_code_HND,country_code,Low,4.80139121911985e-06
categorical__country_code_HND,country_code,Moderate,1.4234350153052544e-05
categorical__country_code_HND,country_code,Severe,1.4291041078001395e-05
categorical__country_code_HRV,country_code,Low,0.0
categorical__country_code_HRV,country_code,Moderate,0.0
categorical__country_code_HRV,country_code,Severe,0.0
categorical__country_code_HTI,country_code,Low,4.37879697904477e-05
