analysis_type,group,sample_count,error_count,error_rate,balanced_accuracy,macro_f1,details
misclassified_sample,2023-0438-GBR,,1,,,,year=2023; true=Extreme; predicted=High; type=Extreme temperature; region=Northern Europe; hdi=present; categories=known_categories
misclassified_sample,2023-0438-HRV,,1,,,,year=2023; true=High; predicted=Extreme; type=Extreme temperature; region=Southern Europe; hdi=present; categories=known_categories
misclassified_sample,2023-0438-MNE,,1,,,,year=2023; true=Moderate; predicted=Extreme; type=Extreme temperature; region=Southern Europe; hdi=present; categories=known_categories
misclassified_sample,2023-0486-IND,,1,,,,year=2023; true=Moderate; predicted=Extreme; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0438-POL,,1,,,,year=2023; true=High; predicted=Extreme; type=Extreme temperature; region=Eastern Europe; hdi=present; categories=known_categories
misclassified_sample,2023-0438-SRB,,1,,,,year=2023; true=High; predicted=Extreme; type=Extreme temperature; region=Southern Europe; hdi=present; categories=known_categories
misclassified_sample,2023-0467-CMR,,1,,,,year=2023; true=Moderate; predicted=High; type=Collapse (Miscellaneous); region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0518-VNM,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0542-PAK,,1,,,,year=2023; true=Moderate; predicted=High; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0610-LBY,,1,,,,year=2023; true=Extreme; predicted=Low; type=Storm; region=Northern Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0647-MEX,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Latin America and the Caribbean; hdi=present; categories=known_categories
misclassified_sample,2023-0721-KEN,,1,,,,year=2023; true=High; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0728-ETH,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0762-PHL,,1,,,,year=2023; true=Moderate; predicted=Low; type=Earthquake; region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0807-TZA,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0855-ZAF,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0856-AUS,,1,,,,year=2023; true=Moderate; predicted=Low; type=Storm; region=Australia and New Zealand; hdi=present; categories=known_categories
misclassified_sample,2023-0837-GIN,,1,,,,year=2023; true=Moderate; predicted=High; type=Explosion (Industrial); region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0868-COG,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
