grouping_strategy,group_key,disaster_type,disaster_subtype,magnitude_scale,total_records,magnitude_nonmissing,magnitude_missing,magnitude_nonmissing_rate,minimum,q1,median,q3,iqr,maximum,extreme_outlier_count,training_records,training_nonmissing,training_median_audit_only,training_iqr_audit_only,full_data_iqr_zero,training_iqr_zero,semantic_consistent,semantic_notes,statistically_supported_from_training,recommended_hybrid_group,unsupported_reasons
disaster_type+magnitude_scale,Gas leak | m3,Gas leak,<MULTIPLE_OR_NOT_APPLICABLE>,m3,36,0,36,0.0,,,,,,,0,28,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_type+magnitude_scale,Industrial accident (General) | m3,Industrial accident (General),<MULTIPLE_OR_NOT_APPLICABLE>,m3,102,0,102,0.0,,,,,,,0,94,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_type+magnitude_scale,Oil spill | m3,Oil spill,<MULTIPLE_OR_NOT_APPLICABLE>,m3,6,0,6,0.0,,,,,,,0,5,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_type+magnitude_scale,Poisoning | m3,Poisoning,<MULTIPLE_OR_NOT_APPLICABLE>,m3,21,0,21,0.0,,,,,,,0,20,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_type+magnitude_scale,Radiation | m3,Radiation,<MULTIPLE_OR_NOT_APPLICABLE>,m3,2,0,2,0.0,,,,,,,0,2,0,,,False,False,False,only three non-missing values and heterogeneous accident contexts,False,False,only three non-missing values and heterogeneous accident contexts; training non-missing sample count 0 < 20; training IQR unavailable
disaster_type+magnitude_scale,Extreme temperature | °C,Extreme temperature,<MULTIPLE_OR_NOT_APPLICABLE>,°C,568,298,270,0.5246478873239436,-57.0,-20.0,32.85,42.65,62.65,60.0,0,424,238,2.0,64.15,False,False,False,mixes cold-wave negative temperatures with heat-wave positive temperatures,False,False,mixes cold-wave negative temperatures with heat-wave positive temperatures
disaster_subtype+magnitude_scale,Air | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Air,<MISSING_SCALE>,453,0,453,0.0,,,,,,,0,405,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Animal incident | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Animal incident,<MISSING_SCALE>,1,0,1,0.0,,,,,,,0,1,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Ash fall | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Ash fall,<MISSING_SCALE>,104,0,104,0.0,,,,,,,0,89,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Avalanche (dry) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Avalanche (dry),<MISSING_SCALE>,1,0,1,0.0,,,,,,,0,1,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Avalanche (wet) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Avalanche (wet),<MISSING_SCALE>,54,0,54,0.0,,,,,,,0,41,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Bacterial disease | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Bacterial disease,<MISSING_SCALE>,433,0,433,0.0,,,,,,,0,399,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Collapse (Miscellaneous) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Collapse (Miscellaneous),<MISSING_SCALE>,170,0,170,0.0,,,,,,,0,142,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Collision | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Collision,<MISSING_SCALE>,1,0,1,0.0,,,,,,,0,1,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Explosion (Miscellaneous) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Explosion (Miscellaneous),<MISSING_SCALE>,170,0,170,0.0,,,,,,,0,145,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
