model_id,fold,threshold,candidate_id,default_prediction_disagreement,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,quadratic_weighted_kappa,severe_to_low,low_to_severe,low_precision,low_recall,low_f1,low_support,moderate_precision,moderate_recall,moderate_f1,moderate_support,severe_precision,severe_recall,severe_f1,severe_support,severe_to_low_rate
LGBM_T2,1,0.38,LGBM_T2_t0.38,18,0.64340239912759,0.6278657790021427,0.5543508161030012,0.6278657790021427,0.5590577621722828,0.6691224438083487,0.47152317880794703,9,15,0.6141479099678456,0.7958333333333333,0.6932849364791288,240,0.8544600938967136,0.6016528925619835,0.7061105722599418,605,0.19444444444444445,0.4861111111111111,0.2777777777777778,72,0.125
LGBM_T2,2,0.38,LGBM_T2_t0.38,25,0.6484284051222352,0.5903121747830772,0.5350253001497361,0.5903121747830772,0.5330888146291685,0.6689842382040831,0.3970287176816134,25,10,0.5469613259668509,0.8608695652173913,0.668918918918919,230,0.8970976253298153,0.5985915492957746,0.7180570221752904,568,0.16101694915254236,0.3114754098360656,0.2122905027932961,61,0.4098360655737705
LGBM_T2,3,0.38,LGBM_T2_t0.38,19,0.6422121896162528,0.6102391908401766,0.540612588801253,0.6102391908401766,0.5454077892207405,0.6643806184517815,0.3692111188225595,20,20,0.5169491525423728,0.7854077253218884,0.6235093696763203,233,0.8861386138613861,0.6078098471986417,0.7210473313192346,589,0.21875,0.4375,0.2916666666666667,64,0.3125
LGBM_T2,4,0.38,LGBM_T2_t0.38,19,0.7201492537313433,0.6165585021035224,0.6005948412589691,0.6165585021035224,0.6007235672952403,0.720478483436721,0.528139555211468,12,7,0.6862745098039216,0.8695652173913043,0.7671232876712328,322,0.8348082595870207,0.6535796766743649,0.7331606217616581,433,0.2807017543859649,0.32653061224489793,0.3018867924528302,49,0.24489795918367346
LGBM_T2,pooled,0.39,LGBM_T2_t0.39,68,0.6644547028274668,0.6117220092474273,0.5548233424950292,0.6117220092474273,0.5601818983229553,0.6806830922990145,0.4459614755219452,67,51,0.5924895688456189,0.8312195121951219,0.6918392204628502,1025,0.8681177976952625,0.6177676537585421,0.7218525419217461,2195,0.20386266094420602,0.3861788617886179,0.26685393258426965,246,0.27235772357723576
LGBM_T2,1,0.39,LGBM_T2_t0.39,14,0.6444929116684842,0.6243380777471687,0.5528308396157794,0.6243380777471687,0.5582416205592733,0.6695903797272371,0.473006141217448,9,14,0.6141479099678456,0.7958333333333333,0.6932849364791288,240,0.8511627906976744,0.6049586776859505,0.7072463768115942,605,0.19318181818181818,0.4722222222222222,0.27419354838709675,72,0.125
LGBM_T2,2,0.39,LGBM_T2_t0.39,21,0.6554132712456344,0.5938333015436407,0.5384351606036689,0.5938333015436407,0.5382333716329192,0.6748438985077867,0.3984667371012949,25,10,0.5469613259668509,0.8608695652173913,0.668918918918919,230,0.8987012987012987,0.6091549295774648,0.7261280167890871,568,0.16964285714285715,0.3114754098360656,0.21965317919075145,61,0.4098360655737705
LGBM_T2,3,0.39,LGBM_T2_t0.39,16,0.6422121896162528,0.6055967884632667,0.5388215656355481,0.6055967884632667,0.5431468266304106,0.6642492358482374,0.36220408029710593,21,20,0.5140449438202247,0.7854077253218884,0.6213921901528013,233,0.8864197530864197,0.6095076400679117,0.7223340040241448,589,0.216,0.421875,0.2857142857142857,64,0.328125
LGBM_T2,4,0.39,LGBM_T2_t0.39,17,0.7213930348258707,0.6112954268965343,0.6003162594249922,0.6112954268965343,0.5985584631451981,0.7208359047619675,0.524726731123621,12,7,0.684596577017115,0.8695652173913043,0.7660738714090287,322,0.8333333333333334,0.6581986143187067,0.7354838709677419,433,0.2830188679245283,0.30612244897959184,0.29411764705882354,49,0.24489795918367346
LGBM_T2,pooled,0.4,LGBM_T2_t0.40,53,0.6667628390075014,0.6082976214727979,0.5539701372272825,0.6082976214727979,0.5597522290179651,0.6820162180014359,0.4454671547687352,67,49,0.5911295911295912,0.8321951219512195,0.6912479740680713,1025,0.8662864385297845,0.6227790432801822,0.7246223164590512,2195,0.20449438202247192,0.3699186991869919,0.2633863965267728,246,0.27235772357723576
LGBM_T2,1,0.4,LGBM_T2_t0.40,13,0.6477644492911668,0.6259909703091521,0.5537493489701037,0.6259909703091521,0.560531875586522,0.6718421758598851,0.4730966550379644,9,14,0.610223642172524,0.7958333333333333,0.6907775768535263,240,0.8521939953810623,0.6099173553719008,0.7109826589595376,605,0.19883040935672514,0.4722222222222222,0.27983539094650206,72,0.125
LGBM_T2,2,0.4,LGBM_T2_t0.40,20,0.6577415599534342,0.5950070104638283,0.5396637594205335,0.5950070104638283,0.5400387056811901,0.6765811648719203,0.3982407626873139,25,10,0.5454545454545454,0.8608695652173913,0.6677908937605397,230,0.8992248062015504,0.6126760563380281,0.7287958115183246,568,0.1743119266055046,0.3114754098360656,0.2235294117647059,61,0.4098360655737705
LGBM_T2,3,0.4,LGBM_T2_t0.40,7,0.6444695259593679,0.5936661274534808,0.5339769977787047,0.5936661274534808,0.5382049422658559,0.6651652259311162,0.3590494087908067,21,19,0.5139664804469274,0.7896995708154506,0.622673434856176,233,0.8810679611650486,0.6162988115449916,0.7252747252747253,589,0.20689655172413793,0.375,0.26666666666666666,64,0.328125
LGBM_T2,4,0.4,LGBM_T2_t0.40,13,0.722636815920398,0.6060323516895462,0.5999302105058426,0.6060323516895462,0.5962100874621573,0.7210552464834011,0.5261088272093557,12,6,0.684596577017115,0.8695652173913043,0.7660738714090287,322,0.8294797687861272,0.6628175519630485,0.7368421052631579,433,0.2857142857142857,0.2857142857142857,0.2857142857142857,49,0.24489795918367346
LGBM_T2,pooled,0.41,LGBM_T2_t0.41,53,0.6702250432775534,0.6104666308622083,0.5563810107939117,0.6104666308622083,0.5628581052644763,0.6846855961103967,0.44842665267535586,67,47,0.5908776779543884,0.8341463414634146,0.691747572815534,1025,0.8671284634760705,0.6273348519362186,0.7279936558287073,2195,0.2111368909512761,0.3699186991869919,0.2688330871491876,246,0.27235772357723576
LGBM_T2,1,0.41,LGBM_T2_t0.41,13,0.648854961832061,0.6265419344964799,0.5539994163139047,0.6265419344964799,0.5613038846318964,0.6725166943861564,0.47295364510984206,9,14,0.60828025477707,0.7958333333333333,0.6895306859205776,240,0.8525345622119815,0.6115702479338843,0.7122232916265641,605,0.20118343195266272,0.4722222222222222,0.2821576763485477,72,0.125
LGBM_T2,2,0.41,LGBM_T2_t0.41,21,0.6647264260768335,0.5985281372243918,0.5436646375128638,0.5985281372243918,0.5455093570872763,0.6822098860593487,0.3989980541456667,25,10,0.5439560439560439,0.8608695652173913,0.6666666666666666,230,0.9007633587786259,0.6232394366197183,0.736732570239334,568,0.18627450980392157,0.3114754098360656,0.2331288343558282,61,0.4098360655737705
LGBM_T2,3,0.41,LGBM_T2_t0.41,7,0.6489841986455982,0.5976592196953688,0.5375316310098919,0.5976592196953688,0.5426208471524462,0.6685143961544899,0.36980134223695005,21,17,0.5166666666666667,0.7982832618025751,0.627318718381113,233,0.8816425120772947,0.6196943972835314,0.7278165503489531,589,0.21428571428571427,0.375,0.2727272727272727,64,0.328125
